seed,pin_set,shoreline-development,hypsometric-bimodality,shelf-fraction,continent-count,largest-continent-share,plate-size-gini,landmass-count,refusal
1477,default,5.7144098,3.7286481,0.030882281,8,0.32451133,0.75841741,25,
1478,default,6.4523756,3.0209365,0.061032176,6,0.50154432,0.52958569,26,
1479,default,6.3254058,3.5803105,0.034812753,9,0.27743271,0.65548191,23,
1480,default,6.5358273,3.9140265,0.037327279,9,0.31813781,0.38793516,16,
1481,default,7.39053,3.2157122,0.052145891,7,0.31971183,0.71984818,22,
1482,default,7.0939965,3.1910214,0.05153557,10,0.34289491,0.74959231,34,
1483,default,6.4676234,3.3838743,0.036424003,7,0.34702667,0.7549314,20,
1484,default,7.663911,2.8108929,0.054782481,7,0.39218089,0.61326508,30,
1485,default,6.5608025,3.1054886,0.053317709,6,0.28830473,0.74873648,31,
1486,default,6.8974594,3.221156,0.056418144,7,0.28877033,0.7592519,29,
1487,default,6.7738301,2.8787064,0.058810605,5,0.58011406,0.71105501,28,
1488,default,6.6060567,2.9478818,0.049973146,6,0.32235308,0.77812582,33,
1489,default,6.4163222,3.4075887,0.055051023,5,0.35854037,0.78164565,24,
1490,default,6.7615455,3.0823215,0.038621161,15,0.15930767,0.64861091,31,
1491,default,9.1268027,2.6617646,0.070724086,12,0.23906374,0.71854859,79,
1492,default,6.2427257,3.7717761,0.030345198,8,0.2855916,0.79391004,18,
1493,default,6.6964685,3.6491136,0.046628583,6,0.30493246,0.7123332,24,
1494,default,7.6606044,3.0577292,0.054074508,4,0.47645729,0.76490702,26,
1495,default,7.2655946,3.0635747,0.054391875,8,0.37249911,0.76260925,36,
1496,default,6.8387663,3.2295748,0.051657634,7,0.35670695,0.75065138,26,
1497,default,6.849983,3.0730549,0.051975001,10,0.2921645,0.68604761,32,
1498,default,6.5691849,3.4204188,0.046042674,8,0.30263727,0.75987237,23,
1499,default,6.3871713,3.5682261,0.036253113,11,0.22686826,0.61615295,35,
1500,default,6.3192146,3.3848505,0.042380743,7,0.45821447,0.62867292,20,
1501,default,6.2697677,3.4985727,0.047019189,5,0.25802623,0.64551165,20,
1502,default,6.7878165,3.4087804,0.04728773,11,0.28267502,0.65148674,27,
1503,default,6.5683415,3.5785958,0.043528148,8,0.19132534,0.70254274,28,
1504,default,6.6002618,3.0317291,0.053854792,3,0.65622545,0.76681477,27,
1505,default,7.287482,3.105881,0.044358186,9,0.35466447,0.70988189,39,
1506,default,7.0521352,3.1927643,0.053659489,8,0.40795507,0.7138986,25,
1507,default,6.0488126,3.5462836,0.03444656,10,0.26777569,0.73802361,35,
1508,default,6.518489,3.7278112,0.037620233,10,0.33744122,0.63618594,27,
1509,default,7.2446665,3.0797938,0.05680875,9,0.29256321,0.47417118,33,
1510,default,7.0078757,3.1233497,0.069771984,8,0.28832508,0.73615267,24,
1511,default,5.0230424,3.8000148,0.033836238,5,0.42672092,0.77411223,13,
1512,default,7.6340747,2.9360112,0.063302573,8,0.30299499,0.71416466,47,
