seed,pin_set,shoreline-development,hypsometric-bimodality,shelf-fraction,continent-count,largest-continent-share,plate-size-gini,refusal
2508,default,12.103169618744591,1.7443403574915168,0.31753820614227823,97,0.748026483320601,0.7736305489344892,
2509,default,9.796742632092855,1.907166983112584,0.15936721839753917,63,0.5448484848484848,0.7802548703676577,
2510,default,12.35657542753457,1.416886089979661,0.6499926761388604,69,0.8625306555312521,0.6668782448773658,
2511,default,10.038408723896492,1.0185291565936432,0.7180313461256774,19,0.9389793103448276,0.7911567705767208,
2512,default,12.261183647945797,1.2135873392697094,0.6600996045114985,46,0.43554126965905177,0.722762211666562,
2513,default,11.619509909571729,1.2672842707010037,0.6632244519310581,26,0.7790355589664876,0.8225980947681932,
2514,default,12.730621609304352,1.3426416529097684,0.6182803574044237,44,0.9479654490581746,0.585243319225264,
2515,default,12.956616867738738,1.4301557994526013,0.6186709633318686,67,0.8994823123382226,0.7193740540012696,
2516,default,10.155637592825533,1.0915560194280878,0.6699135784385528,12,0.991606847045831,0.7853169729542953,
2517,default,11.33529503678396,1.8152183648811635,0.5617401494067672,49,0.8895694681665587,0.8085455062165186,
2518,default,8.283112026705824,0.9578585379390504,0.7196670084468532,21,0.8496186722628858,0.7492635450742964,
2519,default,10.154757891640475,1.8663947960895915,0.22852888042576047,28,0.9367430113081913,0.6596267181687816,
2520,default,10.091823046817707,1.9487996089331519,0.1106147160783165,58,0.7444207870041795,0.6590638012931846,
2521,default,8.714720759058244,2.3832601643199887,0.05514867438113373,59,0.6666928638792833,0.7572853639207819,
2522,default,8.71780175621896,2.3591038689904407,0.06149602070211416,52,0.847672778561354,0.7993465488338787,
2523,default,8.227687128417873,2.542393789864347,0.043332845075924026,47,0.3370692849203409,0.4195229725111078,
2524,default,12.745409170532506,1.8312712463429686,0.20311508227137348,60,0.5585591539986782,0.8022515641674863,
2525,default,11.618636701223936,1.6912632156533547,0.40332503295737515,45,0.9546030940907938,0.6086334189068687,
2526,default,8.581216215762526,2.5464785437673427,0.05009521019481471,61,0.6492497320471597,0.8110866982406457,
2527,default,9.03709318306235,1.3976474405289565,0.644280064449978,17,0.9891110027628799,0.7559262243054539,
2528,default,12.734592545153093,1.0359203017490415,0.6798496167179336,30,0.9661233620965165,0.8183004302090284,
2529,default,6.096301710643426,1.2736130171950937,0.7014794199501977,26,0.5269213069489186,0.8475599335969923,
2530,default,11.669309769568187,1.22755125690286,0.6405448952687857,35,0.9268674908584363,0.7022850446755529,
2531,default,12.366903958901156,1.59430587490736,0.6345881548752502,53,0.401669341894061,0.8203035185604397,
2532,default,12.2528826206826,1.6203104545716245,0.6415702358283287,55,0.9125402422198375,0.7323756513005084,
2533,default,12.724521516163724,1.4411508194682248,0.6011913480787071,54,0.6165018366770274,0.6317472200973984,
2534,default,13.953933048435198,1.3241744133107187,0.6370538547922465,34,0.8612914862914863,0.7924772849337081,
2535,default,11.357405452767487,1.7853096349635789,0.15529026902983253,53,0.3692732641203924,0.5142327034812753,
2536,default,11.43402114937728,2.12655790506912,0.11925687222303598,103,0.82474008062805,0.7605390361798741,
2537,default,9.7267758468604,1.3355940648630324,0.71270934036424,28,0.9156314355942337,0.8305515509882073,
2538,default,8.624342801432425,1.0422584408608266,0.6985742883648259,12,0.902381562099872,0.8059502302947448,
2539,default,11.139359921659036,1.7198670111503187,0.6172550168448806,66,0.7618961352657004,0.8005541721595624,
2540,default,12.817223446025048,1.7892908322998657,0.1667643181485279,99,0.7915194346289752,0.7925261106746386,
2541,default,10.66569588648987,0.9686642255846859,0.7047751574630146,32,0.9117492650146997,0.5592883997014655,
